cake,code,ingredient,amount,measure
Angel,AE,Almond essence,0.25,teaspoon
Angel,BM,Buttermilk,NA,cup
Angel,BP,Baking powder,NA,teaspoon
Angel,BR,Butter,NA,cup
Angel,BS,Bananas,NA,one
Angel,CA,Cocoa,NA,tablespoon
Angel,CC,Cottage Cheese,NA,pound
Angel,CE,Chocolate,NA,ounce
Angel,CI,Crushed Ice,NA,cup
Angel,CS,Crumbs,NA,cup
Angel,CT,Cream of tartar,1.25,teaspoon
Angel,DC,Dried currants,NA,tablespoon
Angel,EG,Eggs,NA,one
Angel,EY,Egg yolk,NA,one
Angel,EW,Egg white,10,one
Angel,FR,Sifted flour,1,cup
Angel,GN,Gelatin,NA,tablespoon
Angel,HC,Heavy cream,NA,cup
Angel,LJ,Lemon juice,NA,tablespoon
Angel,LR,Lemon rind,NA,teaspoon
Angel,MK,Milk,NA,cup
Angel,NG,Nutmeg,NA,teaspoon
Angel,NS,Nuts,NA,cup
Angel,RM,Rum,NA,ounce
Angel,SA,Soda,NA,teaspoon
Angel,SC,Sour cream cup,NA,NA
Angel,SG,Shortening,NA,tablespoon
Angel,SR,Granulated sugar,1.5,cup
Angel,SS,Strawberries,NA,quart
Angel,ST,Salt,0.25,teaspoon
Angel,VE,Vanilla extract,1,teaspoon
Angel,WR,Water,NA,cup
Angel,YT,Yeast,NA,ounce
Angel,ZH,Zwiebach,NA,ounce
Babas au Rhum,AE,Almond essence,NA,teaspoon
Babas au Rhum,BM,Buttermilk,NA,cup
Babas au Rhum,BP,Baking powder,NA,teaspoon
Babas au Rhum,BR,Butter,0.25,cup
Babas au Rhum,BS,Bananas,NA,one
Babas au Rhum,CA,Cocoa,NA,tablespoon
Babas au Rhum,CC,Cottage Cheese,NA,pound
Babas au Rhum,CE,Chocolate,NA,ounce
Babas au Rhum,CI,Crushed Ice,NA,cup
Babas au Rhum,CS,Crumbs,NA,cup
Babas au Rhum,CT,Cream of tartar,NA,teaspoon
Babas au Rhum,DC,Dried currants,3,tablespoon
Babas au Rhum,EG,Eggs,1,one
Babas au Rhum,EY,Egg yolk,2,one
Babas au Rhum,EW,Egg white,NA,one
Babas au Rhum,FR,Sifted flour,1.75,cup
Babas au Rhum,GN,Gelatin,NA,tablespoon
Babas au Rhum,HC,Heavy cream,NA,cup
Babas au Rhum,LJ,Lemon juice,NA,tablespoon
Babas au Rhum,LR,Lemon rind,0.5,teaspoon
Babas au Rhum,MK,Milk,0.25,cup
Babas au Rhum,NG,Nutmeg,NA,teaspoon
Babas au Rhum,NS,Nuts,NA,cup
Babas au Rhum,RM,Rum,2,ounce
Babas au Rhum,SA,Soda,NA,teaspoon
Babas au Rhum,SC,Sour cream cup,NA,NA
Babas au Rhum,SG,Shortening,NA,tablespoon
Babas au Rhum,SR,Granulated sugar,0.25,cup
Babas au Rhum,SS,Strawberries,NA,quart
Babas au Rhum,ST,Salt,NA,teaspoon
Babas au Rhum,VE,Vanilla extract,NA,teaspoon
Babas au Rhum,WR,Water,0.25,cup
Babas au Rhum,YT,Yeast,0.6,ounce
Babas au Rhum,ZH,Zwiebach,NA,ounce
Sweet Chocolate,AE,Almond essence,NA,teaspoon
Sweet Chocolate,BM,Buttermilk,NA,cup
Sweet Chocolate,BP,Baking powder,NA,teaspoon
Sweet Chocolate,BR,Butter,1,cup
Sweet Chocolate,BS,Bananas,NA,one
Sweet Chocolate,CA,Cocoa,NA,tablespoon
Sweet Chocolate,CC,Cottage Cheese,NA,pound
Sweet Chocolate,CE,Chocolate,4,ounce
Sweet Chocolate,CI,Crushed Ice,NA,cup
Sweet Chocolate,CS,Crumbs,NA,cup
Sweet Chocolate,CT,Cream of tartar,NA,teaspoon
Sweet Chocolate,DC,Dried currants,NA,tablespoon
Sweet Chocolate,EG,Eggs,4,one
Sweet Chocolate,EY,Egg yolk,NA,one
Sweet Chocolate,EW,Egg white,NA,one
Sweet Chocolate,FR,Sifted flour,2.5,cup
Sweet Chocolate,GN,Gelatin,NA,tablespoon
Sweet Chocolate,HC,Heavy cream,NA,cup
Sweet Chocolate,LJ,Lemon juice,NA,tablespoon
Sweet Chocolate,LR,Lemon rind,NA,teaspoon
Sweet Chocolate,MK,Milk,1,cup
Sweet Chocolate,NG,Nutmeg,NA,teaspoon
Sweet Chocolate,NS,Nuts,NA,cup
Sweet Chocolate,RM,Rum,NA,ounce
Sweet Chocolate,SA,Soda,1,teaspoon
Sweet Chocolate,SC,Sour cream cup,NA,NA
Sweet Chocolate,SG,Shortening,NA,tablespoon
Sweet Chocolate,SR,Granulated sugar,2,cup
Sweet Chocolate,SS,Strawberries,NA,quart
Sweet Chocolate,ST,Salt,0.5,teaspoon
Sweet Chocolate,VE,Vanilla extract,1,teaspoon
Sweet Chocolate,WR,Water,0.5,cup
Sweet Chocolate,YT,Yeast,NA,ounce
Sweet Chocolate,ZH,Zwiebach,NA,ounce
Buche de Noel,AE,Almond essence,NA,teaspoon
Buche de Noel,BM,Buttermilk,NA,cup
Buche de Noel,BP,Baking powder,NA,teaspoon
Buche de Noel,BR,Butter,NA,cup
Buche de Noel,BS,Bananas,NA,one
Buche de Noel,CA,Cocoa,NA,tablespoon
Buche de Noel,CC,Cottage Cheese,NA,pound
Buche de Noel,CE,Chocolate,NA,ounce
Buche de Noel,CI,Crushed Ice,NA,cup
Buche de Noel,CS,Crumbs,NA,cup
Buche de Noel,CT,Cream of tartar,NA,teaspoon
Buche de Noel,DC,Dried currants,NA,tablespoon
Buche de Noel,EG,Eggs,4,one
Buche de Noel,EY,Egg yolk,NA,one
Buche de Noel,EW,Egg white,NA,one
Buche de Noel,FR,Sifted flour,1,cup
Buche de Noel,GN,Gelatin,NA,tablespoon
Buche de Noel,HC,Heavy cream,NA,cup
Buche de Noel,LJ,Lemon juice,NA,tablespoon
Buche de Noel,LR,Lemon rind,NA,teaspoon
Buche de Noel,MK,Milk,NA,cup
Buche de Noel,NG,Nutmeg,NA,teaspoon
Buche de Noel,NS,Nuts,NA,cup
Buche de Noel,RM,Rum,NA,ounce
Buche de Noel,SA,Soda,NA,teaspoon
Buche de Noel,SC,Sour cream cup,NA,NA
Buche de Noel,SG,Shortening,NA,tablespoon
Buche de Noel,SR,Granulated sugar,1.3,cup
Buche de Noel,SS,Strawberries,NA,quart
Buche de Noel,ST,Salt,0.5,teaspoon
Buche de Noel,VE,Vanilla extract,1,teaspoon
Buche de Noel,WR,Water,NA,cup
Buche de Noel,YT,Yeast,NA,ounce
Buche de Noel,ZH,Zwiebach,NA,ounce
Cheesecake,AE,Almond essence,NA,teaspoon
Cheesecake,BM,Buttermilk,NA,cup
Cheesecake,BP,Baking powder,NA,teaspoon
Cheesecake,BR,Butter,0.25,cup
Cheesecake,BS,Bananas,NA,one
Cheesecake,CA,Cocoa,NA,tablespoon
Cheesecake,CC,Cottage Cheese,1.5,pound
Cheesecake,CE,Chocolate,NA,ounce
Cheesecake,CI,Crushed Ice,NA,cup
Cheesecake,CS,Crumbs,NA,cup
Cheesecake,CT,Cream of tartar,NA,teaspoon
Cheesecake,DC,Dried currants,NA,tablespoon
Cheesecake,EG,Eggs,6,one
Cheesecake,EY,Egg yolk,NA,one
Cheesecake,EW,Egg white,NA,one
Cheesecake,FR,Sifted flour,0.25,cup
Cheesecake,GN,Gelatin,NA,tablespoon
Cheesecake,HC,Heavy cream,NA,cup
Cheesecake,LJ,Lemon juice,1,tablespoon
Cheesecake,LR,Lemon rind,1,teaspoon
Cheesecake,MK,Milk,NA,cup
Cheesecake,NG,Nutmeg,NA,teaspoon
Cheesecake,NS,Nuts,NA,cup
Cheesecake,RM,Rum,NA,ounce
Cheesecake,SA,Soda,NA,teaspoon
Cheesecake,SC,Sour cream cup,1,NA
Cheesecake,SG,Shortening,NA,tablespoon
Cheesecake,SR,Granulated sugar,1,cup
Cheesecake,SS,Strawberries,NA,quart
Cheesecake,ST,Salt,0.25,teaspoon
Cheesecake,VE,Vanilla extract,NA,teaspoon
Cheesecake,WR,Water,NA,cup
Cheesecake,YT,Yeast,NA,ounce
Cheesecake,ZH,Zwiebach,6,ounce
Rum Cheesecake,AE,Almond essence,NA,teaspoon
Rum Cheesecake,BM,Buttermilk,NA,cup
Rum Cheesecake,BP,Baking powder,NA,teaspoon
Rum Cheesecake,BR,Butter,NA,cup
Rum Cheesecake,BS,Bananas,NA,one
Rum Cheesecake,CA,Cocoa,NA,tablespoon
Rum Cheesecake,CC,Cottage Cheese,1.5,pound
Rum Cheesecake,CE,Chocolate,NA,ounce
Rum Cheesecake,CI,Crushed Ice,NA,cup
Rum Cheesecake,CS,Crumbs,NA,cup
Rum Cheesecake,CT,Cream of tartar,NA,teaspoon
Rum Cheesecake,DC,Dried currants,NA,tablespoon
Rum Cheesecake,EG,Eggs,2,one
Rum Cheesecake,EY,Egg yolk,NA,one
Rum Cheesecake,EW,Egg white,NA,one
Rum Cheesecake,FR,Sifted flour,NA,cup
Rum Cheesecake,GN,Gelatin,2,tablespoon
Rum Cheesecake,HC,Heavy cream,1,cup
Rum Cheesecake,LJ,Lemon juice,1,tablespoon
Rum Cheesecake,LR,Lemon rind,1,teaspoon
Rum Cheesecake,MK,Milk,1,cup
Rum Cheesecake,NG,Nutmeg,NA,teaspoon
Rum Cheesecake,NS,Nuts,NA,cup
Rum Cheesecake,RM,Rum,1,ounce
Rum Cheesecake,SA,Soda,NA,teaspoon
Rum Cheesecake,SC,Sour cream cup,NA,NA
Rum Cheesecake,SG,Shortening,NA,tablespoon
Rum Cheesecake,SR,Granulated sugar,1,cup
Rum Cheesecake,SS,Strawberries,NA,quart
Rum Cheesecake,ST,Salt,0.25,teaspoon
Rum Cheesecake,VE,Vanilla extract,NA,teaspoon
Rum Cheesecake,WR,Water,NA,cup
Rum Cheesecake,YT,Yeast,NA,ounce
Rum Cheesecake,ZH,Zwiebach,NA,ounce
Blender Cheesecake,AE,Almond essence,NA,teaspoon
Blender Cheesecake,BM,Buttermilk,NA,cup
Blender Cheesecake,BP,Baking powder,NA,teaspoon
Blender Cheesecake,BR,Butter,NA,cup
Blender Cheesecake,BS,Bananas,NA,one
Blender Cheesecake,CA,Cocoa,NA,tablespoon
Blender Cheesecake,CC,Cottage Cheese,0.5,pound
Blender Cheesecake,CE,Chocolate,NA,ounce
Blender Cheesecake,CI,Crushed Ice,1,cup
Blender Cheesecake,CS,Crumbs,0.3,cup
Blender Cheesecake,CT,Cream of tartar,NA,teaspoon
Blender Cheesecake,DC,Dried currants,NA,tablespoon
Blender Cheesecake,EG,Eggs,NA,one
Blender Cheesecake,EY,Egg yolk,2,one
Blender Cheesecake,EW,Egg white,NA,one
Blender Cheesecake,FR,Sifted flour,NA,cup
Blender Cheesecake,GN,Gelatin,1,tablespoon
Blender Cheesecake,HC,Heavy cream,NA,cup
Blender Cheesecake,LJ,Lemon juice,1,tablespoon
Blender Cheesecake,LR,Lemon rind,1,teaspoon
Blender Cheesecake,MK,Milk,NA,cup
Blender Cheesecake,NG,Nutmeg,NA,teaspoon
Blender Cheesecake,NS,Nuts,NA,cup
Blender Cheesecake,RM,Rum,NA,ounce
Blender Cheesecake,SA,Soda,NA,teaspoon
Blender Cheesecake,SC,Sour cream cup,1,NA
Blender Cheesecake,SG,Shortening,NA,tablespoon
Blender Cheesecake,SR,Granulated sugar,NA,cup
Blender Cheesecake,SS,Strawberries,NA,quart
Blender Cheesecake,ST,Salt,NA,teaspoon
Blender Cheesecake,VE,Vanilla extract,NA,teaspoon
Blender Cheesecake,WR,Water,0.5,cup
Blender Cheesecake,YT,Yeast,NA,ounce
Blender Cheesecake,ZH,Zwiebach,NA,ounce
One Bowl Chocolate,AE,Almond essence,NA,teaspoon
One Bowl Chocolate,BM,Buttermilk,NA,cup
One Bowl Chocolate,BP,Baking powder,2,teaspoon
One Bowl Chocolate,BR,Butter,NA,cup
One Bowl Chocolate,BS,Bananas,NA,one
One Bowl Chocolate,CA,Cocoa,10,tablespoon
One Bowl Chocolate,CC,Cottage Cheese,NA,pound
One Bowl Chocolate,CE,Chocolate,NA,ounce
One Bowl Chocolate,CI,Crushed Ice,NA,cup
One Bowl Chocolate,CS,Crumbs,NA,cup
One Bowl Chocolate,CT,Cream of tartar,NA,teaspoon
One Bowl Chocolate,DC,Dried currants,NA,tablespoon
One Bowl Chocolate,EG,Eggs,2,one
One Bowl Chocolate,EY,Egg yolk,NA,one
One Bowl Chocolate,EW,Egg white,NA,one
One Bowl Chocolate,FR,Sifted flour,2,cup
One Bowl Chocolate,GN,Gelatin,NA,tablespoon
One Bowl Chocolate,HC,Heavy cream,NA,cup
One Bowl Chocolate,LJ,Lemon juice,NA,tablespoon
One Bowl Chocolate,LR,Lemon rind,NA,teaspoon
One Bowl Chocolate,MK,Milk,0.7,cup
One Bowl Chocolate,NG,Nutmeg,NA,teaspoon
One Bowl Chocolate,NS,Nuts,NA,cup
One Bowl Chocolate,RM,Rum,NA,ounce
One Bowl Chocolate,SA,Soda,0.5,teaspoon
One Bowl Chocolate,SC,Sour cream cup,NA,NA
One Bowl Chocolate,SG,Shortening,10,tablespoon
One Bowl Chocolate,SR,Granulated sugar,1.5,cup
One Bowl Chocolate,SS,Strawberries,NA,quart
One Bowl Chocolate,ST,Salt,0.25,teaspoon
One Bowl Chocolate,VE,Vanilla extract,1,teaspoon
